S2KTC001	TC(2,1)	Distribute On-Off Commands		N	S2KHDR02	2	1	17	3	N	Y	N	C		N	1	S2KPSV01	1000	1	
S2KTC002	TC(2,2)	Distribute Register Load Commands		Y	S2KHDR02	2	2	17	4	N	Y	L	A	1	N	1		2047	1	1
S2KTC003	TC(2,3)	Distribute CPDU Commands		Y	S2KHDR01			28	2	N	Y	N	C	1	Y	0		1		1
S2KTC004	TC(2,3)	Distribute CPDU Commands		Y	S2KHDR01			17	2	N	Y	S	O	1	Y	0		1		1
S2KTC005	TC(3,1)	Define New Housekeeping Parameter Report		N	S2KHDR02	3	1	17	3	N	Y	N	C	100	N	1		1	9	100
S2KTC006	TC(3,2)	Define New Diagnostic Parameter Report		N	S2KHDR02	3	2	17	4	A	Y	N	C	100	N	1		1	9	100
S2KTC007	TC(3,3)	Clear Housekeeping Parameter Report Definitions		N	S2KHDR02	3	3	17	1	A	Y	S	R	100	N	1		1	9	100
S2KTC008	TC3,4)	Clear Diagnostic Parameter Report Definitions		N	S2KHDR02	3	4	28	1	A	Y	S	R	100	N	1		1	9	100
S2KTC009	TC(3,5)	Enable Housekeeping Parameter Report Generation		N	S2KHDR02	3	5	28	1	A	Y	N	C	100	N	1		1	9	100
S2KTC010	TC(3,6)	Disable Housekeeping Parameter Report Generation		N	S2KHDR02	3	6	28	1	A	Y	N	C	100	N	1		1	9	100
S2KTC011	TC(3,7)	Enable Diagnostic Parameter Report Generation		N	S2KHDR02	3	7	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC012	TC(3,8)	Disable Diagnostic Parameter Report Generation		N	S2KHDR02	3	8	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC013	TC(3,9)	Report Housekeeping Parameter Report Definitions		N	S2KHDR02	3	9	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC014	TC(3,11)	Report Diagnostic Parameter Report Definitions		N	S2KHDR02	3	11	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC015	TC(3,13)	Report Housekeeping Parameter Sampling Time Offsets		N	S2KHDR02	3	13	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC016	TC(3,14)	Report Diagnostic Parameter Sampling Time Offsets		N	S2KHDR02	3	14	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC017	TC(3,17)	Select Periodic Housekeeping Parameter Report Generation Mode		N	S2KHDR02	3	17	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC018	TC(3,18)	Select Periodic Diagnostic Parameter Report Generation Mode		N	S2KHDR02	3	18	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC019	TC(3,19)	Select Filtered Housekeeping Parameter Report Generation Mode		N	S2KHDR02	3	19	28	3	A	Y	N	C	255	N	1		1	9	255
S2KTC020	TC(3,20)	Select Filtered Diagnostic Parameter Report Generation Mode		N	S2KHDR02	3	20	28	3	A	Y	N	C	255	N	1		1	9	255
S2KTC021	TC(3,21)	Report Unfiltered Housekeeping Parameters		N	S2KHDR02	3	21	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC022	TC(3,22)	Report Unfiltered Diagnostic Parameters		N	S2KHDR02	3	22	28	1	A	Y	N	C	255	N	1		1	9	255
S2KTC023	TC(4,1)	Report Parameter Statistics		N	S2KHDR02	4	1	33	1	F	Y	N	C	1	N	1	S2KPSV03	1	9	1
S2KTC024	TC(4,3)	Reset Parameter Statistics Reporting		N	S2KHDR02	4	3	33	0	F	Y	N	C	1	N	1		1	9	1
S2KTC025	TC(4,4)	Enable Periodic Parameter Statistics Reporting		N	S2KHDR02	4	4	33	0	F	Y	N	C	1	N	1		1	9	1
S2KTC026	TC(4,5)	Disable Periodic Parameter Statistics Reporting		N	S2KHDR02	4	5	33	0	F	Y	N	C	1	N	1		1	9	1
S2KTC027	TC(4,6)	Add Parameters To Parameter Statistics List		N	S2KHDR02	4	6	33	1	F	Y	N	C	1	N	1		1	9	1
S2KTC028	TC(4,7)	Delete Parameters To Parameter Statistics List		N	S2KHDR02	4	7	33	1	F	Y	N	C	1	N	1		1	9	1
