GMO-520B	1	1	S2KTP302	C	0	120	2	1	1	
GMO-520B	2	1	S2KTP034	C	0	120	3	2	2	
GMON-520	1	1	S2KTP311	C	0	130	1	1	1	
GMON-520	2	1	S2KTP311	U	0	130	2	2	2	
GMON-520	3	1	S2KSPSD3	C	0	130	3	3	3	
GMON-520	4	1	S2KSPSS3	C	0	130	4	4	4	
GMON-520	5	1	S2KSPSH3	C	0	130	5	5	5	
GMON-520	6	1	S2KTP304	C	0	130	6	6	5	
GMON-520	7	1	S2KTP201	C	0	2	7	1	1	
GMON-521	1	1	S2KTP311	C	0	130	1	1	1	
GMON-521	2	2	S2KTP311	U	0	130	2	2	2	
GMON-521	3	3	S2KSPSD3	C	0	130	3	3	3	
GMON-521	4	4	S2KSPSS3	C	0	130	4	4	4	
GMON-521	5	5	S2KSPSH3	C	0	130	5	5	5	
GMON-522	1	1	S2KTP302	C	0	120	2	1	1	
GMON-522	2	1	S2KTP034	C	0	120	3	2	2	
GMON-591	1	1	S2KTP302	C	0	39	1	1	1	
GMON-591	2	1	S2KTP304	C	0	39	2	2	1	
GMON-591	3	1	S2KSPSD3	C	0	39	3	2	1	
S2KGRD01	1	1	S2KTP306	U	0	1024	7	0	5	
S2KGRD02	1	2	S2KTP307	U	0	2048	6	1	4	
S2KGRD03	1	3	S2KTP308	U	0	4096	5	2	3	
S2KGRD04	1	1	S2KTP309	U	0	8192	4	3	2	
S2KGRD05	1	1	S2KTP310	U	0	16383	3	4	1	
S2KGRD06	1	1	S2KTP311	U	0	32767	2	5	0	
S2KGRD07	1	1	S2KTP402	C	0	8.25953e+06	1	6	1	
S2KGRD08	1	1	S2KTP400	U	-7	7	1	1	1	
S2KGRD08	2	2	S2KTP401	U	-15	15	2	2	2	
S2KGRD08	3	3	S2KTP402	U	-31	31	3	3	3	
S2KGRD08	4	4	S2KTP403	U	-63	63	4	4	4	
S2KGRD08	5	5	S2KTP404	U	-127	127	5	5	5	
S2KGRD08	6	6	S2KTP405	U	-255	255	6	6	1	
S2KGRD08	7	7	S2KTP406	U	-511	511	7	1	2	
S2KGRD08	8	8	S2KTP407	U	-1023	103	4	1	5	
S2KGRD09	1	1	S2KTP400	U	-7	7	1	1	1	
S2KGRD09	2	2	S2KTP401	U	-15	15	2	2	2	
S2KGRD09	3	3	S2KTP402	U	-31	31	3	3	3	
S2KGRD09	4	4	S2KTP403	U	-63	63	4	4	4	
S2KGRD09	5	5	S2KTP404	U	-127	127	5	5	5	
S2KGRDXY	1	1	S2KTP302	U	0	6	6	3	1	
S2KGRDXY	2	P	S2KTP301	U	0	6	1	1	1	
TEST	1	1	S2KTP311	C	0	130	1	1	1	
TEST	2	1	S2KTP311	U	0	130	2	2	2	
TEST	3	1	S2KSPSD3	C	0	130	3	3	3	
TEST	4	1	S2KSPSS3	C	0	130	4	4	4	
TEST	5	1	S2KSPSH3	C	0	130	5	5	5	
TEST	6	1	S2KTP304	C	0	130	6	6	5	
TEST	7	1	S2KTP201	C	0	2	7	1	1	
