101	0	0	OFF
101	1	1	ON
102	0	0	OFF
102	1	2	INVALID
102	3	3	ON
103	0	0	OFF
103	1	6	INVALID
103	7	7	ON
104	0	0	OFF
104	1	14	INVALID
104	15	15	ON
105	0	0	OFF
105	1	30	INVALID
105	31	31	ON
106	0	0	OFF
106	1	62	INVALID
106	63	63	ON
107	0	0	OFF
107	1	126	INVALID
107	127	127	ON
108	0	0	OFF
108	1	254	INVALID
108	255	255	ON
109	0	0	OFF
109	1	510	INVALID
109	511	511	ON
110	0	0	OFF
110	1	1022	INVALID
110	1023	1023	ON
111	0	0	OFF
111	1	2046	INVALID
111	2047	2047	ON
112	0	0	OFF
112	1	4094	INVALID
112	4095	4095	ON
113	0	0	OFF
113	1	8190	INVALID
113	8191	8191	ON
114	0	0	OFF
114	1	16382	INVALID
114	16383	16383	ON
115	0	0	OFF
115	1	32766	INVALID
115	32767	32767	ON
116	0	0	OFF
116	1	65534	INVALID
116	65535	65535	ON
117	0	0	OFF
117	1	16777214	INVALID
117	16777215	16777215	ON
118	0	0	OFF
118	1	4294967294	INVALID
118	4294967295	4294967295	ON
119	-6	6	INVALID
119	7	7	ON
119	-7	-7	OFF
120	0	0	INVALID
120	1	1000000	ON
120	-1000000	-1	OFF
121	1	1	RAM_1
121	2	2	RAM_2
121	3	3	RAM_3
121	4	4	RAM_4
122	0	0	OFF
122	1	131070	INVALID
122	131071	131071	ON
123	0	0	OFF
123	1	262142	INVALID
123	262143	262143	ON
124	0	0	OFF
124	1	524286	INVALID
124	524287	524287	ON
125	0	0	OFF
125	1	1048574	INVALID
125	1048575	1048575	ON
126	0	0	OFF
126	1	2097150	INVALID
126	2097151	2097151	ON
127	0	0	OFF
127	1	4194302	INVALID
127	4194303	4194303	ON
128	0	0	OFF
128	1	8388606	INVALID
128	8388607	8388607	ON
129	0	0	OFF
129	1	33554430	INVALID
129	33554431	33554431	ON
130	0	0	OFF
130	1	67108862	INVALID
130	67108863	67108863	ON
131	0	0	OFF
131	1	134217725	INVALID
131	134217726	134217726	ON
132	0	0	OFF
132	1	268435452	INVALID
132	268435453	268435453	ON
133	0	0	OFF
133	1	536870906	INVALID
133	536870907	536870907	ON
134	0	0	OFF
134	1	1073741814	INVALID
134	1073741815	1073741815	ON
135	0	0	OFF
135	1	2147483646	INVALID
135	2147483647	2147483647	ON
136	0	0	ZERO
136	1	1	ONE
136	10	10	TEN
136	11	11	ELEVEN
136	12	12	TWELVE
136	13	13	THIRTEEN
136	14	14	FOURTEEN
136	15	15	FIFTEEN
136	2	2	TWO
136	3	3	THREE
136	4	4	FOUR
136	5	5	FIVE
136	6	6	SIX
136	7	7	SEVEN
136	8	8	EIGHT
136	9	9	NINE
250	0	0	OFF
250	1	1	ON
250	11	100	TEST
250	2	10	UNDEFINED
9999	0	0	OFF
9999	1	2147483646	INVALID
9999	2147483647	2147483647	ON
